Technology (Process),Explanation
IBOBIOPEL01,TIMES process: IBOBIOPEL01
IBOHTHSTMCPS01,TIMES process: IBOHTHSTMCPS01
IBOHTHSTMELC01,TIMES process: IBOHTHSTMELC01
IBOHTHSTMGMX01,TIMES process: IBOHTHSTMGMX01
IBOHTHSTMLFO01,TIMES process: IBOHTHSTMLFO01
IBOPROD00,TIMES process: IBOPROD00
IBOPROD01,TIMES process: IBOPROD01
IBOSTMGAS00,TIMES process: IBOSTMGAS00
IBOSTMOIL00,TIMES process: IBOSTMOIL00
IBOSTMSOLID00,TIMES process: IBOSTMSOLID00
ICESTDPRO00,TIMES process: ICESTDPRO00
ICESTDPRO01,TIMES process: ICESTDPRO01
ICHDEMAND00,TIMES process: ICHDEMAND00
ICHELEELC00,TIMES process: ICHELEELC00
ICHELEELC01,TIMES process: ICHELEELC01
ICHMCHELC00,TIMES process: ICHMCHELC00
ICHMCHELC01,TIMES process: ICHMCHELC01
ICHOTH-NRG,TIMES process: ICHOTH-NRG
ICHPACELC01,TIMES process: ICHPACELC01
ICHPRCBIO01,TIMES process: ICHPRCBIO01
ICHPRCCOA00,TIMES process: ICHPRCCOA00
ICHPRCCOA01,TIMES process: ICHPRCCOA01
ICHPRCCOK01,TIMES process: ICHPRCCOK01
ICHPRCCPS00,TIMES process: ICHPRCCPS00
ICHPRCCPS01,TIMES process: ICHPRCCPS01
ICHPRCELC01,TIMES process: ICHPRCELC01
ICHPRCGAS00,TIMES process: ICHPRCGAS00
ICHPRCGMX01,TIMES process: ICHPRCGMX01
ICHPRCHFO00,TIMES process: ICHPRCHFO00
ICHPRCHFO01,TIMES process: ICHPRCHFO01
ICHPRCHH202,TIMES process: ICHPRCHH202
ICHPRCLFO01,TIMES process: ICHPRCLFO01
ICHPRCLPG01,TIMES process: ICHPRCLPG01
ICHSTMBFG01,TIMES process: ICHSTMBFG01
ICHSTMBGS01,TIMES process: ICHSTMBGS01
ICHSTMBIO01,TIMES process: ICHSTMBIO01
ICHSTMCOA00,TIMES process: ICHSTMCOA00
ICHSTMCPS00,TIMES process: ICHSTMCPS00
ICHSTMCPS01,TIMES process: ICHSTMCPS01
ICHSTMELC01,TIMES process: ICHSTMELC01
ICHSTMGAS00,TIMES process: ICHSTMGAS00
ICHSTMGMX00,TIMES process: ICHSTMGMX00
ICHSTMGMX01,TIMES process: ICHSTMGMX01
ICHSTMHET00,TIMES process: ICHSTMHET00
ICHSTMHET01,TIMES process: ICHSTMHET01
ICHSTMHFO00,TIMES process: ICHSTMHFO00
ICHSTMHFO01,TIMES process: ICHSTMHFO01
ICHSTMHH201,TIMES process: ICHSTMHH201
ICHSTMLFO00,TIMES process: ICHSTMLFO00
ICHSTMLFO01,TIMES process: ICHSTMLFO01
ICHSTMLPG00,TIMES process: ICHSTMLPG00
ICHSTMLPG01,TIMES process: ICHSTMLPG01
ICHSTMPEL01,TIMES process: ICHSTMPEL01
ICMDRYCOACC_01,TIMES process: ICMDRYCOACC_01
ICMDRYCOKCC_01,TIMES process: ICMDRYCOKCC_01
ICMDRYGASCC_01,TIMES process: ICMDRYGASCC_01
ICMDRYHFOCC_01,TIMES process: ICMDRYHFOCC_01
ICMDRYLFOCC_01,TIMES process: ICMDRYLFOCC_01
ICMDRYPRD00,TIMES process: ICMDRYPRD00
ICMDRYPRD10,TIMES process: ICMDRYPRD10
ICMDRYWSTCC_01,TIMES process: ICMDRYWSTCC_01
ICMFINPRO00,TIMES process: ICMFINPRO00
ICMFINPRO01,TIMES process: ICMFINPRO01
ICMPRC20,TIMES process: ICMPRC20
ICMPRC21,TIMES process: ICMPRC21
ICMPRC22,TIMES process: ICMPRC22
ICMPRC23,TIMES process: ICMPRC23
ICMPRC24,TIMES process: ICMPRC24
ICMPRCCOA00,TIMES process: ICMPRCCOA00
ICMPRCCOK00,TIMES process: ICMPRCCOK00
ICMPRCCOL00,TIMES process: ICMPRCCOL00
ICMPRCGAS00,TIMES process: ICMPRCGAS00
ICMPRCHFO00,TIMES process: ICMPRCHFO00
ICMPRCSLU00,TIMES process: ICMPRCSLU00
ICMPRDCC_02,TIMES process: ICMPRDCC_02
ICMWETPRD00,TIMES process: ICMWETPRD00
IGFFLATGL00,TIMES process: IGFFLATGL00
IGFFLATGL01,TIMES process: IGFFLATGL01
IGFFLATGLCC01,TIMES process: IGFFLATGLCC01
IGFFLATHHCC01,TIMES process: IGFFLATHHCC01
IGFFLATOXYCC01,TIMES process: IGFFLATOXYCC01
IGHHOLLOW00,TIMES process: IGHHOLLOW00
IGHHOLLOW01,TIMES process: IGHHOLLOW01
IGHHOLLOWCC01,TIMES process: IGHHOLLOWCC01
IGHHOLLOWELC01,TIMES process: IGHHOLLOWELC01
IGHHOLLOWHH10,TIMES process: IGHHOLLOWHH10
IGHHOLLOWOXYCC01,TIMES process: IGHHOLLOWOXYCC01
IGHOTCO201,TIMES process: IGHOTCO201
IGHOTHH201,TIMES process: IGHOTHH201
IGHOTOCC01,TIMES process: IGHOTOCC01
IGHOTSTD01,TIMES process: IGHOTSTD01
IGHRECYCL00,TIMES process: IGHRECYCL00
IISAODFUR01,TIMES process: IISAODFUR01
IISBLAFURDCI,TIMES process: IISBLAFURDCI
IISBLAFURTGR,TIMES process: IISBLAFURTGR
IISBOXFUR01,TIMES process: IISBOXFUR01
IISBOXSCR01,TIMES process: IISBOXSCR01
IISCOREX01,TIMES process: IISCOREX01
IISCUPOLA01,TIMES process: IISCUPOLA01
IISCYCFUR01,TIMES process: IISCYCFUR01
IISDRIEAF01,TIMES process: IISDRIEAF01
IISDRIH3,TIMES process: IISDRIH3
IISDRISPN01,TIMES process: IISDRISPN01
IISELAFUR00,TIMES process: IISELAFUR00
IISELAFUR01,TIMES process: IISELAFUR01
IISFECRFR01,TIMES process: IISFECRFR01
IISFINELC01,TIMES process: IISFINELC01
IISFINPRO00,TIMES process: IISFINPRO00
IISFINPRO01,TIMES process: IISFINPRO01
IISFINPRO02,TIMES process: IISFINPRO02
IISOXYGEN01,TIMES process: IISOXYGEN01
IISPELLET01,TIMES process: IISPELLET01
IISSINTER01,TIMES process: IISSINTER01
IISSTMBFG01,TIMES process: IISSTMBFG01
IISSTMCOA01,TIMES process: IISSTMCOA01
IISSTMGAS00,TIMES process: IISSTMGAS00
IISSTMGMX01,TIMES process: IISSTMGMX01
IISSTMHFO01,TIMES process: IISSTMHFO01
ILMPRCCOA00,TIMES process: ILMPRCCOA00
ILMPRCCOK00,TIMES process: ILMPRCCOK00
ILMPRCCOL00,TIMES process: ILMPRCCOL00
ILMPRCGAS00,TIMES process: ILMPRCGAS00
ILMPRCLFO00,TIMES process: ILMPRCLFO00
ILMPRCLPG00,TIMES process: ILMPRCLPG00
ILMPRCSLU00,TIMES process: ILMPRCSLU00
ILMPRDOOXCCY21,TIMES process: ILMPRDOOXCCY21
ILMPRDOOXYCC20,TIMES process: ILMPRDOOXYCC20
ILMPRDOOXYCC22,TIMES process: ILMPRDOOXYCC22
ILMPRDOOXYCC23,TIMES process: ILMPRDOOXYCC23
ILMPRDOOXYCC24,TIMES process: ILMPRDOOXYCC24
ILMPRODCOACC_01,TIMES process: ILMPRODCOACC_01
ILMPRODCOKCC_01,TIMES process: ILMPRODCOKCC_01
ILMPRODGASCC_01,TIMES process: ILMPRODGASCC_01
ILMPRODHFOCC_01,TIMES process: ILMPRODHFOCC_01
ILMPRODLFOCC_01,TIMES process: ILMPRODLFOCC_01
ILMPRODWSTCC_01,TIMES process: ILMPRODWSTCC_01
ILMQLMPRCC02,TIMES process: ILMQLMPRCC02
ILMQLMPRO00,TIMES process: ILMQLMPRO00
ILMQLMPRO01,TIMES process: ILMQLMPRO01
ILMQLMPROELC01,TIMES process: ILMQLMPROELC01
IMLEVA00,TIMES process: IMLEVA00
IMLEVA01,TIMES process: IMLEVA01
IMLEVA02,TIMES process: IMLEVA02
IMLEVA03,TIMES process: IMLEVA03
IMLEVA04,TIMES process: IMLEVA04
IMLEVA05,TIMES process: IMLEVA05
IMLEVA06,TIMES process: IMLEVA06
IMLEVA07,TIMES process: IMLEVA07
IMLHTHPACELC01,TIMES process: IMLHTHPACELC01
IMLHTHSTMBGS01,TIMES process: IMLHTHSTMBGS01
IMLHTHSTMCPS01,TIMES process: IMLHTHSTMCPS01
IMLHTHSTMELC01,TIMES process: IMLHTHSTMELC01
IMLHTHSTMGMX01,TIMES process: IMLHTHSTMGMX01
IMLHTHSTMLFO01,TIMES process: IMLHTHSTMLFO01
IMLSTMGAS00,TIMES process: IMLSTMGAS00
IMLSTMOIL00,TIMES process: IMLSTMOIL00
IMOXYCELC,TIMES process: IMOXYCELC
IMPBIOCPS,Import of Solid biomass
IMPBIODST,Import of biomasse
IMPBIOEFF,Import of Unknown
IMPBIOETH,Import of -
IMPBIOGZH,Import of Unknown
IMPBIOLOG,Import of Solid biomass
IMPBIOPEL,Import of Solid biomass
IMPBIORME,Import of Unknown
IMPCOACOK,Import of Coal
IMPCOAHAR,Import of Coal
IMPCOALIG,Import of Coal
IMPDEMZ,Import of Unknown
IMPECH4,Import of Unknown
IMPELCHIG,Import of HV Electricity (AC / DC)
IMPGASNAT,Import of Natural Gas
IMPH2,Import of Unknown
IMPMATZ,Import of Unknown
IMPNRGZ,Import of Unknown
IMPNUCRSV,Import of Nuclear
IMPOILDST,Import of Oil
IMPOILGSL,Import of Oil
IMPOILHFO,Import of Oil
IMPOILKER,Import of Oil
IMPOILLPG,Import of Oil
IMPOILOTH,Import of Oil
INDBFG00,TIMES process: INDBFG00
INDBGS00,Industry process using Biogas
INDBIO00,TIMES process: INDBIO00
INDCOA00,Industry process using Coal
INDCOG00,Industry process using CO2
INDCOK00,Industry process using -
INDCOL00,Industry process using Lignite
INDCPS00,Industry process using Solid biomass
INDELC00,Industry process using Electricity
INDGAS00,Industry process using Natural Gas
INDGASCOG01,Industry process using Natural Gas
INDGEO00,TIMES process: INDGEO00
INDGH2C01,Industry process using Hydrogen
INDGH2C01_i,Industry process using Hydrogen
INDGMX00,Industry process using Biogas
INDHETELC00_N,Industry process using Electricity
INDHFO00,Industry process using Oil
INDHTH00,TIMES process: INDHTH00
INDIIS01,TIMES process: INDIIS01
INDLFO00,Industry process using Oil
INDLPG00,Industry process using Oil
INDPEL00,Industry process using Solid biomass
INDPVELC,Industry process using Electricity
INDSLU00,Industry process using -
INDSOL00,TIMES process: INDSOL00
INDWOO00,TIMES process: INDWOO00
INDWST00,Industry process using Municipal waste (optional)
INFDEMAND00,TIMES process: INFDEMAND00
INFELEELC00,TIMES process: INFELEELC00
INFELEELC01,TIMES process: INFELEELC01
INFMCHELC00,TIMES process: INFMCHELC00
INFMCHELC01,TIMES process: INFMCHELC01
INFOTH-HH2,TIMES process: INFOTH-HH2
INFPACELC01,TIMES process: INFPACELC01
INFPRCBIO01,TIMES process: INFPRCBIO01
INFPRCCOA01,TIMES process: INFPRCCOA01
INFPRCCOK01,TIMES process: INFPRCCOK01
INFPRCCPS01,TIMES process: INFPRCCPS01
INFPRCELC01,TIMES process: INFPRCELC01
INFPRCGMX00,TIMES process: INFPRCGMX00
INFPRCGMX01,TIMES process: INFPRCGMX01
INFPRCHFO01,TIMES process: INFPRCHFO01
INFPRCHH202,TIMES process: INFPRCHH202
INFPRCLFO01,TIMES process: INFPRCLFO01
INFPRCLPG01,TIMES process: INFPRCLPG01
INFSTMBFG01,TIMES process: INFSTMBFG01
INFSTMBGS01,TIMES process: INFSTMBGS01
INFSTMBIO01,TIMES process: INFSTMBIO01
INFSTMCOA01,TIMES process: INFSTMCOA01
INFSTMCOK01,TIMES process: INFSTMCOK01
INFSTMCOL01,TIMES process: INFSTMCOL01
INFSTMCPS01,TIMES process: INFSTMCPS01
INFSTMELC01,TIMES process: INFSTMELC01
INFSTMGMX00,TIMES process: INFSTMGMX00
INFSTMGMX01,TIMES process: INFSTMGMX01
INFSTMHET01,TIMES process: INFSTMHET01
INFSTMHFO01,TIMES process: INFSTMHFO01
INFSTMHH201,TIMES process: INFSTMHH201
INFSTMLFO00,TIMES process: INFSTMLFO00
INFSTMLFO01,TIMES process: INFSTMLFO01
INFSTMLPG00,TIMES process: INFSTMLPG00
INFSTMLPG01,TIMES process: INFSTMLPG01
INFSTMPEL01,TIMES process: INFSTMPEL01
INMDEMAND00,TIMES process: INMDEMAND00
INMELEELC00,TIMES process: INMELEELC00
INMELEELC01,TIMES process: INMELEELC01
INMMCHELC00,TIMES process: INMMCHELC00
INMMCHELC01,TIMES process: INMMCHELC01
INMOTH-NRG,TIMES process: INMOTH-NRG
INMPRCBIO01,TIMES process: INMPRCBIO01
INMPRCCOA01,TIMES process: INMPRCCOA01
INMPRCCOK01,TIMES process: INMPRCCOK01
INMPRCCPS01,TIMES process: INMPRCCPS01
INMPRCELC01,TIMES process: INMPRCELC01
INMPRCGMX00,TIMES process: INMPRCGMX00
INMPRCGMX01,TIMES process: INMPRCGMX01
INMPRCHFO01,TIMES process: INMPRCHFO01
INMPRCHH202,TIMES process: INMPRCHH202
INMPRCLFO00,TIMES process: INMPRCLFO00
INMPRCLFO01,TIMES process: INMPRCLFO01
INMPRCLPG01,TIMES process: INMPRCLPG01
INMSTMBFG01,TIMES process: INMSTMBFG01
INMSTMBGS01,TIMES process: INMSTMBGS01
INMSTMBIO01,TIMES process: INMSTMBIO01
INMSTMCOA00,TIMES process: INMSTMCOA00
INMSTMCOA01,TIMES process: INMSTMCOA01
INMSTMCOK01,TIMES process: INMSTMCOK01
INMSTMCOL00,TIMES process: INMSTMCOL00
INMSTMCOL01,TIMES process: INMSTMCOL01
INMSTMCPS01,TIMES process: INMSTMCPS01
INMSTMELC01,TIMES process: INMSTMELC01
INMSTMGMX00,TIMES process: INMSTMGMX00
INMSTMGMX01,TIMES process: INMSTMGMX01
INMSTMHET01,TIMES process: INMSTMHET01
INMSTMHFO00,TIMES process: INMSTMHFO00
INMSTMHFO01,TIMES process: INMSTMHFO01
INMSTMHH201,TIMES process: INMSTMHH201
INMSTMLFO00,TIMES process: INMSTMLFO00
INMSTMLFO01,TIMES process: INMSTMLFO01
INMSTMLPG00,TIMES process: INMSTMLPG00
INMSTMLPG01,TIMES process: INMSTMLPG01
INMSTMPEL01,TIMES process: INMSTMPEL01
IOFDEMAND00,TIMES process: IOFDEMAND00
IOFELEELC00,TIMES process: IOFELEELC00
IOFELEELC01,TIMES process: IOFELEELC01
IOFFROELC00,TIMES process: IOFFROELC00
IOFFROELC01,TIMES process: IOFFROELC01
IOFMCHELC00,TIMES process: IOFMCHELC00
IOFMCHELC01,TIMES process: IOFMCHELC01
IOFOTH-NRG,TIMES process: IOFOTH-NRG
IOFPACELC01,TIMES process: IOFPACELC01
IOFPRCBGS00,TIMES process: IOFPRCBGS00
IOFPRCBIO01,TIMES process: IOFPRCBIO01
IOFPRCCPS00,TIMES process: IOFPRCCPS00
IOFPRCCPS01,TIMES process: IOFPRCCPS01
IOFPRCELC01,TIMES process: IOFPRCELC01
IOFPRCGAS00,TIMES process: IOFPRCGAS00
IOFPRCGMX00,TIMES process: IOFPRCGMX00
IOFPRCGMX01,TIMES process: IOFPRCGMX01
IOFPRCHFO01,TIMES process: IOFPRCHFO01
IOFPRCHH202,TIMES process: IOFPRCHH202
IOFPRCLFO00,TIMES process: IOFPRCLFO00
IOFPRCLFO01,TIMES process: IOFPRCLFO01
IOFPRCLPG01,TIMES process: IOFPRCLPG01
IOFSTMBFG01,TIMES process: IOFSTMBFG01
IOFSTMBGS00,TIMES process: IOFSTMBGS00
IOFSTMBGS01,TIMES process: IOFSTMBGS01
IOFSTMBIO01,TIMES process: IOFSTMBIO01
IOFSTMCPS00,TIMES process: IOFSTMCPS00
IOFSTMCPS01,TIMES process: IOFSTMCPS01
IOFSTMELC01,TIMES process: IOFSTMELC01
IOFSTMGAS00,TIMES process: IOFSTMGAS00
IOFSTMGMX00,TIMES process: IOFSTMGMX00
IOFSTMGMX01,TIMES process: IOFSTMGMX01
IOFSTMHET00,TIMES process: IOFSTMHET00
IOFSTMHET01,TIMES process: IOFSTMHET01
IOFSTMHFO01,TIMES process: IOFSTMHFO01
IOFSTMHH201,TIMES process: IOFSTMHH201
IOFSTMLFO00,TIMES process: IOFSTMLFO00
IOFSTMLFO01,TIMES process: IOFSTMLFO01
IOFSTMLPG00,TIMES process: IOFSTMLPG00
IOFSTMLPG01,TIMES process: IOFSTMLPG01
IOFSTMPEL01,TIMES process: IOFSTMPEL01
IOIDEMAND00,TIMES process: IOIDEMAND00
IOIELEELC00,TIMES process: IOIELEELC00
IOIELEELC01,TIMES process: IOIELEELC01
IOIMCHELC00,TIMES process: IOIMCHELC00
IOIMCHELC01,TIMES process: IOIMCHELC01
IOIOTH-NRG,TIMES process: IOIOTH-NRG
IOIPACELC01,TIMES process: IOIPACELC01
IOIPRCBIO01,TIMES process: IOIPRCBIO01
IOIPRCCPS01,TIMES process: IOIPRCCPS01
IOIPRCELC01,TIMES process: IOIPRCELC01
IOIPRCGAS00,TIMES process: IOIPRCGAS00
IOIPRCGMX00,TIMES process: IOIPRCGMX00
IOIPRCGMX01,TIMES process: IOIPRCGMX01
IOIPRCHFO01,TIMES process: IOIPRCHFO01
IOIPRCHH202,TIMES process: IOIPRCHH202
IOIPRCLFO00,TIMES process: IOIPRCLFO00
IOIPRCLFO01,TIMES process: IOIPRCLFO01
IOIPRCLPG01,TIMES process: IOIPRCLPG01
IOISTMBFG01,TIMES process: IOISTMBFG01
IOISTMBGS01,TIMES process: IOISTMBGS01
IOISTMBIO01,TIMES process: IOISTMBIO01
IOISTMCOK00,TIMES process: IOISTMCOK00
IOISTMCPS00,TIMES process: IOISTMCPS00
IOISTMCPS01,TIMES process: IOISTMCPS01
IOISTMELC01,TIMES process: IOISTMELC01
IOISTMGAS00,TIMES process: IOISTMGAS00
IOISTMGMX00,TIMES process: IOISTMGMX00
IOISTMGMX01,TIMES process: IOISTMGMX01
IOISTMHET01,TIMES process: IOISTMHET01
IOISTMHFO00,TIMES process: IOISTMHFO00
IOISTMHFO01,TIMES process: IOISTMHFO01
IOISTMHH201,TIMES process: IOISTMHH201
IOISTMLFO00,TIMES process: IOISTMLFO00
IOISTMLFO01,TIMES process: IOISTMLFO01
IOISTMLPG00,TIMES process: IOISTMLPG00
IOISTMLPG01,TIMES process: IOISTMLPG01
IOISTMPEL01,TIMES process: IOISTMPEL01
IPOHTHPACELC01,TIMES process: IPOHTHPACELC01
IPOHTHSTMBGS01,TIMES process: IPOHTHSTMBGS01
IPOHTHSTMCPS01,TIMES process: IPOHTHSTMCPS01
IPOHTHSTMELC01,TIMES process: IPOHTHSTMELC01
IPOHTHSTMGMX01,TIMES process: IPOHTHSTMGMX01
IPOHTHSTMLFO01,TIMES process: IPOHTHSTMLFO01
IPOPREPA00,TIMES process: IPOPREPA00
IPOPREPA01,TIMES process: IPOPREPA01
IPOPREPA02,TIMES process: IPOPREPA02
IPOPREPA03,TIMES process: IPOPREPA03
IPOPREPA04,TIMES process: IPOPREPA04
IPOSTMGAS00,TIMES process: IPOSTMGAS00
IPOSTMOIL00,TIMES process: IPOSTMOIL00
IPPHIGQUA00,TIMES process: IPPHIGQUA00
IPPHIGQUA01,TIMES process: IPPHIGQUA01
IPPHIGQUA05,TIMES process: IPPHIGQUA05
IPPHIGQUA11,TIMES process: IPPHIGQUA11
IPPHIGQUA55,TIMES process: IPPHIGQUA55
IPPPACELC01,TIMES process: IPPPACELC01
IPPPRCBIO01,TIMES process: IPPPRCBIO01
IPPPRCCOA01,TIMES process: IPPPRCCOA01
IPPPRCGAS00,TIMES process: IPPPRCGAS00
IPPPRCGMX01,TIMES process: IPPPRCGMX01
IPPPRCHFO00,TIMES process: IPPPRCHFO00
IPPPRCHFO01,TIMES process: IPPPRCHFO01
IPPPRCLFO00,TIMES process: IPPPRCLFO00
IPPPRCLFO01,TIMES process: IPPPRCLFO01
IPPPRCLPG00,TIMES process: IPPPRCLPG00
IPPPUPCHE00,TIMES process: IPPPUPCHE00
IPPPUPCHE01,TIMES process: IPPPUPCHE01
IPPPUPIMP00,Import of Unknown
IPPPUPMEC01,TIMES process: IPPPUPMEC01
IPPPUPMEC10,TIMES process: IPPPUPMEC10
IPPPUPMEC20,TIMES process: IPPPUPMEC20
IPPPUPRYC01,TIMES process: IPPPUPRYC01
IPPSTMCOA01,TIMES process: IPPSTMCOA01
IPPSTMGMX01,TIMES process: IPPSTMGMX01
IPPSTMHFO01,TIMES process: IPPSTMHFO01
IPPSTMHH201,TIMES process: IPPSTMHH201
ISGHTHSTMBGS01,TIMES process: ISGHTHSTMBGS01
ISGHTHSTMCOA01,TIMES process: ISGHTHSTMCOA01
ISGHTHSTMCPS01,TIMES process: ISGHTHSTMCPS01
ISGHTHSTMELC01,TIMES process: ISGHTHSTMELC01
ISGHTHSTMGMX01,TIMES process: ISGHTHSTMGMX01
ISGHTHSTMLFO01,TIMES process: ISGHTHSTMLFO01
ISGHTHSTMLPG01,TIMES process: ISGHTHSTMLPG01
ISGPREPA00,TIMES process: ISGPREPA00
ISGPREPA01,TIMES process: ISGPREPA01
ISGPROD00,TIMES process: ISGPROD00
ISGPROD01,TIMES process: ISGPROD01
ISGSTMGAS00,TIMES process: ISGSTMGAS00
ISGSTMOIL00,TIMES process: ISGSTMOIL00
ISGSTMSOLID00,TIMES process: ISGSTMSOLID00
MINBIOBOU,Extraction of Unknown
MINBIOCPS,Extraction of Solid biomass
MINBIOCRP11,Extraction of Unknown
MINBIOCRP21,Extraction of Unknown
MINBIOCUL,Extraction of Unknown
MINBIOEFF,Extraction of Unknown
MINBIOGAS,Extraction of Natural Gas
MINBIOGZH,Extraction of Unknown
MINBIOLOG,Extraction of Solid biomass
MINBIORPS1,Extraction of Unknown
MINBIOSLU,Extraction of -
MINBIOSLUH,Extraction of -
MINCETGAS,Extraction of Natural Gas
MINCOMAHT,Extraction of CO2
MINCOMGHT,Extraction of Hydrogen
MINCOOFRE1,Extraction of CO2
MINMBOWOO1,Extraction of Unknown
MINMCOWIM1,Extraction of CO2
MINMCUORE1,Extraction of Unknown
MINMCUPDT,Extraction of Unknown
MINMCUSCR1,Extraction of Unknown
MINMGHRYC1,Extraction of Hydrogen
MINMISGBE1,Extraction of Unknown
MINMISORE1,Extraction of Unknown
MINMISOXY1,Extraction of Unknown
MINMISQLI1,Extraction of Unknown
MINMISSCR1,Extraction of Unknown
MINMLMSTN1,Extraction of Unknown
MINMPPGYP1,Extraction of Unknown
MINMPPKAO1,Extraction of Unknown
MINMPPNOH1,Extraction of Unknown
MINMPPOXY1,Extraction of Unknown
MINMPPRYC1,Extraction of Unknown
MINMPPWOO1,Extraction of Unknown
MINNREWST,Extraction of Municipal waste (optional)
MINRENGEO,Extraction of Unknown
MINRENHYD,Extraction of Unknown
MINRENSOL,Extraction of Unknown
MINRENWIN,Extraction of Unknown
MINRSDAHT,Extraction of Unknown
MINRSDGHT,Extraction of Hydrogen
NECDEMAND00,TIMES process: NECDEMAND00
NEODEMAND00,TIMES process: NEODEMAND00
RCDRELC100,TIMES process: RCDRELC100
RCDRELC101,TIMES process: RCDRELC101
RCDRELC201,TIMES process: RCDRELC201
RCOKCOA100,TIMES process: RCOKCOA100
RCOKELC100,TIMES process: RCOKELC100
RCOKELC101,TIMES process: RCOKELC101
RCOKELC201,TIMES process: RCOKELC201
RCOKELC301,TIMES process: RCOKELC301
RCOKGAS101,TIMES process: RCOKGAS101
RCOKGMX100,TIMES process: RCOKGMX100
RCOKLOG100,TIMES process: RCOKLOG100
RCOKLPG100,TIMES process: RCOKLPG100
RCWAELC100,TIMES process: RCWAELC100
RCWAELC101,TIMES process: RCWAELC101
RCWAELC200,TIMES process: RCWAELC200
RCWAELC201,TIMES process: RCWAELC201
RCWAELC301,TIMES process: RCWAELC301
RCWAELC401,TIMES process: RCWAELC401
RDWAELC100,TIMES process: RDWAELC100
RDWAELC101,TIMES process: RDWAELC101
RDWAELC201,TIMES process: RDWAELC201
RDW_R_2Fac,TIMES process: RDW_R_2Fac
RDW_R_3Fac,TIMES process: RDW_R_3Fac
RDW_R_4Fac,TIMES process: RDW_R_4Fac
RDW_R_Appa,TIMES process: RDW_R_Appa
RDW_R_N2F,TIMES process: RDW_R_N2F
RDW_R_N3F,TIMES process: RDW_R_N3F
RDW_R_N4F,TIMES process: RDW_R_N4F
RDW_R_NAP,TIMES process: RDW_R_NAP
RH2FBDLN1,TIMES process: RH2FBDLN1
RH2FCOA100,TIMES process: RH2FCOA100
RH2FELC100,TIMES process: RH2FELC100
RH2FELC200,TIMES process: RH2FELC200
RH2FELCHPN1,TIMES process: RH2FELCHPN1
RH2FELCHPN2,TIMES process: RH2FELCHPN2
RH2FELCHPN3,TIMES process: RH2FELCHPN3
RH2FELCHPN4,TIMES process: RH2FELCHPN4
RH2FELCHPN6,TIMES process: RH2FELCHPN6
RH2FELCN1,TIMES process: RH2FELCN1
RH2FGEO100,TIMES process: RH2FGEO100
RH2FGMX100,TIMES process: RH2FGMX100
RH2FGMXN1,TIMES process: RH2FGMXN1
RH2FGMXN2,TIMES process: RH2FGMXN2
RH2FHETN1,TIMES process: RH2FHETN1
RH2FLOG100,TIMES process: RH2FLOG100
RH2FLOGN1,TIMES process: RH2FLOGN1
RH2FLOGN2,TIMES process: RH2FLOGN2
RH2FLPG100,TIMES process: RH2FLPG100
RH2FLPGN1,TIMES process: RH2FLPGN1
RH2FLPGN2,TIMES process: RH2FLPGN2
RH2FOIL100,TIMES process: RH2FOIL100
RH2FOILN1,TIMES process: RH2FOILN1
RH2FOILN3,TIMES process: RH2FOILN3
RH2FPEL100,TIMES process: RH2FPEL100
RH2FPELN1,TIMES process: RH2FPELN1
RH2FPELN2,TIMES process: RH2FPELN2
RH3FBDLN1,TIMES process: RH3FBDLN1
RH3FCOA100,TIMES process: RH3FCOA100
RH3FELC100,TIMES process: RH3FELC100
RH3FELC200,TIMES process: RH3FELC200
RH3FELCHPN1,TIMES process: RH3FELCHPN1
RH3FELCHPN2,TIMES process: RH3FELCHPN2
RH3FELCHPN3,TIMES process: RH3FELCHPN3
RH3FELCHPN4,TIMES process: RH3FELCHPN4
RH3FELCHPN6,TIMES process: RH3FELCHPN6
RH3FELCN1,TIMES process: RH3FELCN1
RH3FGEO100,TIMES process: RH3FGEO100
RH3FGMX100,TIMES process: RH3FGMX100
RH3FGMXN1,TIMES process: RH3FGMXN1
RH3FGMXN2,TIMES process: RH3FGMXN2
RH3FHETN1,TIMES process: RH3FHETN1
RH3FLOG100,TIMES process: RH3FLOG100
RH3FLOGN1,TIMES process: RH3FLOGN1
RH3FLOGN2,TIMES process: RH3FLOGN2
RH3FLPG100,TIMES process: RH3FLPG100
RH3FLPGN1,TIMES process: RH3FLPGN1
RH3FLPGN2,TIMES process: RH3FLPGN2
RH3FOIL100,TIMES process: RH3FOIL100
RH3FOILN1,TIMES process: RH3FOILN1
RH3FOILN3,TIMES process: RH3FOILN3
RH3FPEL100,TIMES process: RH3FPEL100
RH3FPELN1,TIMES process: RH3FPELN1
RH3FPELN2,TIMES process: RH3FPELN2
RH4FBDLN1,TIMES process: RH4FBDLN1
RH4FCOA100,TIMES process: RH4FCOA100
RH4FELC100,TIMES process: RH4FELC100
RH4FELC200,TIMES process: RH4FELC200
RH4FELCHPN1,TIMES process: RH4FELCHPN1
RH4FELCHPN2,TIMES process: RH4FELCHPN2
RH4FELCHPN3,TIMES process: RH4FELCHPN3
RH4FELCHPN4,TIMES process: RH4FELCHPN4
RH4FELCHPN6,TIMES process: RH4FELCHPN6
RH4FELCN1,TIMES process: RH4FELCN1
RH4FGEO100,TIMES process: RH4FGEO100
RH4FGMX100,TIMES process: RH4FGMX100
RH4FGMXN1,TIMES process: RH4FGMXN1
RH4FGMXN2,TIMES process: RH4FGMXN2
